"x","growthWDI_br","growthWDI_bp","growthWDI_bc","growthWDI_ser","growthWDI_sep","growthWDI_sec","growthWDI_pr","growthWDI_pp","growthWDI_pc","AgrGDPgrowthCap_br","AgrGDPgrowthCap_bp","AgrGDPgrowthCap_bc","AgrGDPgrowthCap_ser","AgrGDPgrowthCap_sep","AgrGDPgrowthCap_sec","AgrGDPgrowthCap_pr","AgrGDPgrowthCap_pp","AgrGDPgrowthCap_pc","NonAgrGDPgrowthCap_br","NonAgrGDPgrowthCap_bp","NonAgrGDPgrowthCap_bc","NonAgrGDPgrowthCap_ser","NonAgrGDPgrowthCap_sep","NonAgrGDPgrowthCap_sec","NonAgrGDPgrowthCap_pr","NonAgrGDPgrowthCap_pp","NonAgrGDPgrowthCap_pc"
11,0.00195391431943572,0.0084513271763274,-0.00649741285689167,0.00237358536913923,0.00974360090498928,0.0100802117715935,0.410399336782611,0.385738186171666,0.519205189640073,0.00477482020216449,0.00124612759545701,0.00352869260670748,0.00421425199942743,0.0165016966860865,0.017108677329987,0.257207010264911,0.939804868347516,0.836594358882478,-0.000787485789564083,0.0109494887363548,-0.0117369745259189,0.0040204012712507,0.0136606118985448,0.0143573243689156,0.844710012451662,0.422820711920981,0.413648245767582
12,0.00132289880141711,0.00690742755883808,-0.00558452875742096,0.00245244960715236,0.00908375478683912,0.00946789627447111,0.589597524345181,0.447006286072774,0.5552989978776,0.003037055612159,-3.5254844273927e-05,0.00307231045643293,0.00428505767092376,0.0152628654963893,0.0159329070155734,0.478476590771676,0.998157012460541,0.847093680930768,-0.00137333178977088,0.009411994032994,-0.0107853258227649,0.00398780642162574,0.0126657075928948,0.0133984467576872,0.730558450874201,0.457416038716707,0.420837933568545
13,0.000691883283398505,0.00536352794134876,-0.00467164465795026,0.00258072737114075,0.00843676718584783,0.00888809403961751,0.788625246319381,0.524950724154517,0.599161275370635,0.00129929102215351,-0.00131663728400486,0.00261592830615838,0.0044558060096938,0.0140439649579345,0.0148127822173223,0.770596252680069,0.925306870229821,0.859823073137349,-0.00195917778997767,0.00787449932963323,-0.0098336771196109,0.00398743824936751,0.0116882445628816,0.0124620614539616,0.623187787853732,0.500495045499839,0.430059919869238
14,6.08677653798993e-05,0.00381962832385945,-0.00375876055847955,0.0027515162311336,0.00780583609602688,0.0083475826883592,0.982351007429552,0.62460821697252,0.652507605943911,-0.000438473567851975,-0.0025980197237358,0.00215954615588382,0.00471565305904927,0.0128506676579879,0.0137618971488072,0.925917403769998,0.839783810582455,0.875306222005655,-0.00254502379018447,0.00633700462627246,-0.00888202841645693,0.00401930561046965,0.0107329890450757,0.0115536385405408,0.526603130588317,0.55490702987984,0.442033062072249
15,-0.000570147752638708,0.00227572870637013,-0.00284587645900884,0.00295746048050207,0.00719518664503814,0.00785447790180057,0.84712901077373,0.751786290597802,0.717108916336343,-0.00217623815785746,-0.00387940216346673,0.00170316400560927,0.00505086616087128,0.0116908162978455,0.0127973205912993,0.666567007475324,0.740015137124846,0.894124143592532,-0.00313086979039126,0.0047995099229117,-0.00793037971330296,0.00408265372642119,0.00980643296355348,0.0106803154938438,0.443158065256974,0.624541095177382,0.457770532517649
16,-0.00120116327065732,0.000731829088880816,-0.00193299235953813,0.0031917622929621,0.00661044186457271,0.00741823933084678,0.706669863312092,0.911847866996571,0.79442186721723,-0.00391400274786295,-0.00516078460319767,0.00124678185533472,0.00544755016508933,0.0105754210838825,0.0119399882983298,0.472456068133952,0.625551239950235,0.916835501621737,-0.00371671579059806,0.00326201521955093,-0.00697873101014899,0.00417605021174832,0.00891752666621123,0.00985143148227852,0.373461886987078,0.714515661737972,0.478698345149106
17,-0.00183217878867592,-0.000812070528608499,-0.00102010826006742,0.00344864664663128,0.00605910633030296,0.00704943201389588,0.59522841952946,0.893382961894217,0.884941528720378,-0.00565176733786844,-0.00644216704292861,0.000790399705060171,0.00589330512121267,0.00952012055755762,0.0112145232568144,0.337551246189317,0.498602885012027,0.943811611129282,-0.00430256179080485,0.00172452051619016,-0.00602708230699501,0.00429753642845523,0.00807870762953308,0.00907916588302217,0.316744937506771,0.830964363911825,0.5067949191591
18,-0.00246319430669453,-0.00235597014609782,-0.000107224160596713,0.00372344248906452,0.00555114352976039,0.00675910304377198,0.508268109380699,0.671265604745502,0.987343155805222,-0.00738953192787392,-0.00772354948265954,0.000334017554785619,0.00637785044718631,0.00854720297506622,0.0106479128591768,0.246609396606122,0.366189117340539,0.974975025500918,-0.00488840779101165,0.000187025812829391,-0.00507543360384104,0.00444480971453567,0.00730724522862967,0.00837918800912451,0.271418677501958,0.979580715711366,0.54470134739317
19,-0.00309420982471314,-0.00389986976358713,0.000805659938873996,0.00401247147814462,0.00509953101207802,0.0065576841554839,0.440619142852819,0.444420026747837,0.902220030310543,-0.00912729651787941,-0.00900493192239048,-0.000122364595488932,0.00689301066487309,0.0076880089035508,0.0102664925705535,0.185457257639282,0.24147993129582,0.990490373483278,-0.00547425379121844,-0.00135046889053138,-0.00412378490068706,0.00461540220399433,0.00662670577633818,0.00777105642319597,0.235589206881919,0.83851613117833,0.595654757368592
20,-0.00372522534273174,-0.00544376938107645,0.0017185440383447,0.0043128730417183,0.00472046985874835,0.00645350558214765,0.387727628530018,0.248817564178308,0.790011096439806,-0.0108650611078849,-0.0102863143621214,-0.000578746745763484,0.00743242250883587,0.00698463327904319,0.0100912831796286,0.143783268171243,0.140830211229234,0.954265471581414,-0.00606009979142524,-0.00288796359389214,-0.00317213619753309,0.00480683177077325,0.00606775962015175,0.00727783153502138,0.207407433100151,0.634108425954592,0.662936259983337
21,-0.00435624086075035,-0.00698766899856576,0.00263142813781541,0.00462243047568486,0.00443261231336774,0.00645127990429082,0.345980980655928,0.114928507248659,0.683352661877946,-0.0126028256978904,-0.0115676968018523,-0.00103512889603804,0.00799117646520602,0.00648795361588729,0.0101329871107831,0.114774207322994,0.07459444529837,0.918634147121858,-0.00664594579163203,-0.00442545829725292,-0.00222048749437912,0.0050167136555786,0.00566650376481845,0.00692411246667939,0.185250487261972,0.434810916943989,0.748445997463149
