"run","temp","temppoor","L1temp","L1temppoor","L2temp","L2temppoor","L3temp","L3temppoor","L4temp","L4temppoor","L5temp","L5temppoor","temp2","temp2poor","L1temp2","L1temp2poor","L2temp2","L2temp2poor","L3temp2","L3temp2poor","L4temp2","L4temp2poor","L5temp2","L5temp2poor","tlin","tlinpoor","tsq","tsqpoor"
16,0.00907487216407031,0.0110549122524587,-0.00782805653779638,0.0282925266891449,-0.0112812599311098,-0.0387189358532382,0.0033779142289628,0.0289673340199759,-0.00120835264053636,-0.0198905313903994,0.00784275510711878,-0.00568462065827708,-0.00067452150090437,-0.000386972390644373,0.000193823576873114,-0.000522076327045804,0.000460016331589967,0.000782780931127708,-0.000398643033650806,-0.00083803129881691,0.000158398643524599,0.000633833843160921,-4.83658333882892e-05,2.46021016352758e-05,-2.21276092906703e-05,0.00402068505966483,-0.000309291815955785,-0.000305863140583181
17,0.0153037990664873,-0.000158081001856035,-0.0083074771538312,-0.0059999472328418,-0.00690717193576341,-0.0156219535168719,-0.00744427713488603,-0.00153442896322154,-0.00422121448962882,-0.00238387994015015,-0.001183920260484,0.000530556840395456,-0.000705975529435095,-0.000300788663946991,0.000325440187592987,0.000440872171911705,0.000217170339297187,0.000240941903586385,9.31120841746279e-05,-2.91081553423586e-05,0.000147716792669598,0.00021226753870158,9.35289793359194e-05,-6.80955647136354e-05,-0.0127602619081062,-0.025167733814546,0.000170992853635224,0.000496089230196685
18,0.0104598035640442,0.000128473641882038,-0.00952520661069366,-0.0130888644475223,-0.00149520899835635,-0.0248113864986255,-0.00426487090653023,-0.00332913442756433,0.00119240011642208,0.00413620055758673,0.00924104156293127,0.00893107492440026,-0.00045837535838794,-0.000260808287242849,0.000343363830929426,0.000543021493286813,1.27321019041028e-06,0.000404358799172682,2.60354314429691e-05,-0.000108141987873871,-2.28627018289622e-05,-6.99836326552514e-05,-0.000195951803287875,-0.000353021772010299,0.00560795872781735,-0.0280336362498431,-0.000306517390941973,0.000155424612677224
19,0.015373053298108,0.0068190303397498,-0.00807171921636845,0.00306529312366743,-0.0115412706490832,-0.0254570949485548,-0.00486416096330811,0.0115714196732237,0.00270437886511555,0.00127550197568236,0.00739109258950839,0.00856546755854717,-0.000718805542258081,-0.000329123571808465,0.000343388200893554,8.20514074380613e-05,0.000359273386768675,0.00042787548174331,1.88693261168626e-05,-0.00041806375394333,-9.28113881587632e-05,0.000133667599315224,-0.000253411192027627,-0.000326839535765648,0.000991373923972118,0.00583961772231559,-0.00034349720866538,-0.000430432373020848
20,0.023804101236046,-0.00728047658031468,-0.010035470515202,-0.00486683542230421,0.000796217183704522,-0.0332668157235732,-0.00834281160348323,-0.00158632380882342,0.00991404223046912,-0.000179351267058928,-0.00221408829669046,0.00464371220023261,-0.000913372542957463,-1.87130256211773e-05,0.000557970100195737,0.000307931597664967,-9.13858731109123e-05,0.000714000024956533,0.000217511731324452,-0.000144816287351257,-0.000368151968096903,0.000178121056676665,0.000155978844368545,-0.000207518989187937,0.0139219902348439,-0.0425360906018418,-0.000441449708276544,0.000829004377137794
21,0.0261627423073243,-0.0169701417287515,1.24972200777167e-05,-0.0191783833481307,-0.00046363814273836,0.0159187007178315,-0.00403717108563287,-0.0145251501946054,0.00916668130540105,0.0184231284527968,0.00385940544017056,0.000305312032572868,-0.00103735181207386,0.000218806196376911,0.000258468757077643,0.000508535613326264,2.44003278586614e-05,-0.000416228793744851,7.29659682795776e-05,0.000205725849423551,-0.00027505218376486,-0.000330454101529612,-6.83589689242891e-05,-9.23080027997245e-05,0.0347005170446024,-0.0160265340682864,-0.00102492791154712,9.40767610525381e-05
22,0.0113266680958658,0.00982885833639262,-0.00994954711011555,-0.00457567775418037,-0.0118253128844344,-0.0108820528169926,-0.00359980176870544,0.0066677089804179,-0.00192074128850292,0.012623304850027,0.00855184246678404,0.00642383094376377,-0.000294584943123687,-0.000324885350778219,0.000265549393838125,3.60685547810178e-05,0.000411004381490354,0.000161344577087879,-9.20882883170487e-05,-0.00025876820550607,7.85358232018025e-05,-0.000158570183972901,-0.000340230828280217,-0.000218762883937173,-0.00741689248910855,0.0200859725394282,2.81855388093292e-05,-0.000763573492325467
23,0.00516397670941507,-0.0266918417406671,-0.0102651859408543,-0.010914825967435,-0.0067032388806802,-0.0173468932718451,-0.00548709916762566,0.00987160218990004,-0.00129946425933409,-0.00152381511254956,0.0113587944493903,0.00707419519215007,-0.00022078661440553,0.000407471389573327,0.000348298155672352,0.000355103061001007,0.000175706588983365,0.000352477867067173,-6.19433134990642e-05,-0.00041976562219672,8.14191190243708e-05,0.000211429041025169,-0.000429618738213211,-0.000254977939713586,-0.00723221708968881,-0.0395315787104467,-0.000106924802437717,0.00065173779675637
24,0.00775541223101769,-0.012521616746442,-0.00700705072735063,-0.00187259387936593,-0.00567046333791225,-0.016748690728054,0.00451195829065939,0.00642141487875271,-0.00232089011903838,0.00690547764454309,0.00455922459691869,0.00379639809664843,-0.00032032954636828,1.03036010153168e-05,0.00028304530617061,0.000124903658251808,0.000144793329160836,0.00031459196891046,-0.000313125049124584,-0.000290936197306029,0.000223739104374501,0.00012043801443197,-0.000149947897283977,-0.00016261908265016,0.0018281909342945,-0.0140196107339177,-0.000131824753070894,0.000116681962653365
25,0.00621553701492202,-0.0190088836678285,-0.00756707178008819,-0.00961247143582905,-0.00435300487711848,-0.00888267716065986,-0.00474176385041632,0.00307775482365302,0.00303174648651898,0.00252006586220137,0.00137023885017873,-0.00445510328928583,-0.000296373736982404,0.000102453362920514,0.000386951212987327,0.000475403453595042,0.000111674322353683,0.00015635836450089,0.000108888996372687,-0.000324183795628209,-0.000170146330989659,0.000202698885645709,1.98437899294149e-05,1.95025030490733e-05,-0.00604431815600326,-0.0363613148677488,0.000160838253671048,0.000632232774083019
26,0.00997661088224334,0.0113437121344724,-0.00428014054957674,-0.00419464175833257,-0.000504151355710296,0.0250840729344959,-0.00403837416397517,-0.0189395312472827,0.0070567823495478,-0.0150850283205335,0.00490784758869881,0.0135359574859866,-0.000306944046601165,-0.000424517057001845,0.000249355577992417,0.000241568060635038,1.71385598637574e-05,-0.00053346383017775,0.000108387404728773,0.000135951259859207,-0.000229870997485808,0.00068928748424584,-2.80949127302789e-05,-0.000322915719833668,0.0131185747512277,0.0117445412288062,-0.000190028414232305,-0.000214089802273177
27,0.0132269793441074,0.0108753477178684,-0.00958381192035069,0.00382832632805238,-0.0101984614874277,-0.0124681503653797,-0.00857426611982181,-0.00465620972559133,0.00353830767267528,-0.00288805728874966,0.0069941260918515,0.00713201151516652,-0.000571038810628375,-0.000433290696057134,0.000321583462252367,0.00013019762746022,0.000285139258834017,0.000241719626799631,0.000231999820118771,3.5226367768286e-05,-7.14254324223969e-05,0.000182832631155175,-0.000122455408686443,-0.000250689463407382,-0.00459712641896593,0.00182326818136665,7.38028894679408e-05,-9.40039062812044e-05
28,0.0219594776846966,-0.0152113802062131,-0.00475139776683605,-0.00258654787547206,-0.00755500946551458,-0.0175033338213187,0.0016333709750701,0.00995604497690138,0.00145810262018567,0.0113842963674294,0.00205604424682131,-0.00255360454951535,-0.000982663887144441,0.000166730734339072,0.000127408532836894,0.000212362136219705,0.000346032298765389,0.000331125804404473,-0.000263092968637266,-0.000281036695729348,-4.89987416406954e-05,-0.000147136938319997,5.79039724122585e-05,8.48909117464816e-06,0.014800588294423,-0.0165145251081884,-0.00076341079340786,0.000290534132088554
